Date; Time; Latitude; Longitude; Altitude; Satellites; HDOP; PDOP; Temperature;Speed; TTFF; SNR; tbd
05/28/2018; 08:36:50;16.3203417;-89.3276067;636;7;1.2;1.5;27;;6;0;0
05/28/2018; 08:52:08;16.3202417;-89.3278033;620;6;1.2;1.5;26;;16;0;0
05/28/2018; 09:07:19;16.32056;-89.3275783;676;6;1.3;1.6;26;;10;0;0
05/28/2018; 09:22:29;16.3203233;-89.3277433;620;6;1.2;1.5;27;;8;0;0
05/28/2018; 09:37:37;16.32034;-89.327785;560;6;1.4;1.7;26;;7;0;0
05/28/2018; 09:53:01;16.320305;-89.3277233;660;9;0.9;1.3;29;;23;0;0
05/28/2018; 10:08:12;16.3203883;-89.32788;664;5;1.2;1.5;30;;10;0;0
05/28/2018; 10:23:19;16.3202533;-89.3277883;656;8;0.9;1.3;31;;6;0;0
05/28/2018; 10:38:27;16.3203217;-89.3278183;680;6;1.1;1.4;32;;7;0;0
05/28/2018; 10:53:39;16.3203917;-89.3274967;686;6;1.2;1.5;30;;10;0;0
05/28/2018; 11:08:49;16.3204933;-89.3274967;678;6;1.3;1.6;28;;9;0;0
05/28/2018; 11:23:59;16.3203483;-89.3275167;588;6;1.4;1.7;28;;9;0;0
05/28/2018; 11:39:08;16.3199367;-89.3277117;592;6;1.5;1.8;26;;7;0;0
05/28/2018; 11:54:14;16.3204017;-89.32741;678;7;1.4;1.6;26;;6;0;0
05/28/2018; 12:09:25;16.3200533;-89.3276583;632;5;2;2.2;26;;10;0;0
05/28/2018; 12:24:33;16.32;-89.327645;610;6;1.7;1.9;27;;6;0;0
05/28/2018; 12:39:39;16.3201717;-89.3275433;666;6;1.2;1.5;30;;5;0;0
05/28/2018; 12:54:51;16.32011;-89.327425;666;6;1.5;1.7;30;;11;0;0
05/28/2018; 13:09:56;16.3203233;-89.327625;734;5;2;2.2;31;;5;0;0
05/28/2018; 13:25:07;16.3201683;-89.32744;686;8;0.9;1.2;30;;9;0;0
05/28/2018; 13:40:29;16.320245;-89.327495;684;5;1.2;1.5;30;;21;0;0
05/28/2018; 13:56:18;16.318885;-89.3291433;674;7;1.3;1.6;29;;48;0;0
05/28/2018; 14:11:25;16.314595;-89.338775;598;7;1;1.4;28;;6;0;0
05/28/2018; 14:26:34;16.3128683;-89.3406583;664;6;1.7;1.9;30;;8;0;0
05/28/2018; 14:41:45;16.31246;-89.3403117;752;6;1.1;1.4;30;;10;0;0
05/28/2018; 14:56:53;16.31236;-89.340305;684;7;1.7;1.9;32;;6;0;0
05/28/2018; 15:12:07;16.3131133;-89.3413133;604;7;1.8;1.9;32;;13;0;0
05/28/2018; 15:27:31;16.3126317;-89.3407533;654;9;1;1.3;32;;22;0;0
05/28/2018; 15:42:34;16.3127533;-89.340705;608;7;1.3;1.6;32;;2;0;0
05/28/2018; 15:57:39;16.312865;-89.340295;716;5;1.6;1.8;33;;5;0;0
05/28/2018; 16:12:51;16.3129717;-89.34065;636;6;1.5;1.8;32;;11;0;0
05/28/2018; 16:27:56;16.3127733;-89.3407867;628;6;1.4;1.7;32;;3;0;0
05/28/2018; 16:43:00;16.3127067;-89.3408767;630;9;1;1.2;33;;3;0;0
05/28/2018; 16:58:04;16.3126933;-89.3409383;622;8;1.1;1.4;34;;3;0;0
05/28/2018; 17:13:11;16.3127033;-89.340785;642;9;0.9;1.2;34;;6;0;0
05/28/2018; 17:28:15;16.31275;-89.3407933;650;5;1.8;2;33;;3;0;0
05/28/2018; 17:43:20;16.3126567;-89.3399467;624;7;1;1.4;34;;4;0;0
05/28/2018; 17:58:30;16.3127867;-89.340225;618;7;1.5;1.7;33;;8;0;0
05/28/2018; 18:13:35;16.3127583;-89.3403417;628;9;1;1.2;34;;5;0;0
05/28/2018; 18:28:43;16.3130417;-89.340325;634;7;1.4;1.7;35;;6;0;0
05/28/2018; 18:43:48;16.31759;-89.3322917;628;7;1.3;1.6;35;;4;0;0
05/28/2018; 19:00:11;16.3203133;-89.32782;650;7;1.1;1.5;32;;63;0;0
05/28/2018; 19:16:42; ; ; ; ; ; ; ;;;;
